起点,accuracy,宣言値に限った accuracy,エスカレーション率
(b) ラベル0件・値の名前だけ,0.7848194431394656,0.8903644416942548,0.9894680796701891
(a) 人手ラベル200件,0.5549269678942258,0.5982809393965866,0.9369840320052221
(a') 人手ラベル全件,0.6775066718755924,0.7144984319528515,0.7423309283261711
