版,同一グレード,異グレード,差,AUC
V0 生（現状）,0.922080397605896,0.9105658531188965,0.011514544486999512,0.6374856302214498
V1 既出語の除去,0.9076049327850342,0.8918448686599731,0.015760064125061035,0.6589002264167918
V2 定数語の除去,0.9008567333221436,0.8761151432991028,0.02474159002304077,0.7065369464933026
V3 先頭区切りまで,0.9147899746894836,0.8937778472900391,0.02101212739944458,0.7105151867284236
V23 V3+定数語除去,0.8984620571136475,0.8653141260147095,0.03314793109893799,0.7811478189408347
