手法,全体MAE,既知MAE,未知MAE
B2 手書きルール,2782.948203346955,2622.8170751775033,4118.437823958185
C2 文字TF-IDF,2639.658026279638,2510.777612751199,3714.5174651338766
D1 e5 埋め込み,2620.3272246350216,2470.1264518905728,3872.9979283331195
D4 e5 埋め込み+文字TF-IDF,2595.514342688913,2454.8980275638223,3768.2509085578245
F(c)' 機能A・埋め込み列（既定エンコーダ）,2599.3797057338506,2463.849697415205,3729.696599519614
F(c-e5)' 機能A・埋め込み列（e5-small）,2621.25803399242,2469.6149754199178,3885.9573655740514
F(d)' 機能A・埋め込み列＋文字TF-IDF,2588.0870504354366,2454.747874988924,3700.1324526338094
