手法,全体MAE,既知MAE,未知MAE
F(c)-64 機能A・埋め込み列（SVD64次元）,2640.6077596441446,2501.428498450562,3801.359331516403
F(c)-128 機能A・埋め込み列（SVD128次元）,2614.2204104835578,2476.052620021503,3766.5363416471673
F(c)-256 機能A・埋め込み列（SVD256次元）,2599.3797057338506,2463.849697415205,3729.696599519614
F(c)-512 機能A・埋め込み列（SVD512次元）,2587.1687208233366,2451.4981614724807,3718.6578067170863
