手法,全体MAE,既知MAE,未知MAE
B2 手書きルール,2782.948203346955,2622.8170751775033,4118.437823958185
C2 文字TF-IDF,2639.658026279638,2510.777612751199,3714.5174651338766
D1 構造化列+車種名の埋め込み,2620.3272246350216,2470.1264518905728,3872.9979283331195
D4 埋め込み+文字TF-IDF,2595.514342688913,2454.8980275638223,3768.2509085578245
