fold,n,MAE_LightGBM,MAE_XGBoost
1,60,4039.38842909186,4113.198347981771
2,60,3557.6366113699173,3684.144181315104
3,60,2540.464044966016,2663.392474365234
4,60,3057.3214774772064,2911.284212239583
5,60,2796.1571185320895,2703.2720865885417
