index,車両本体価格(万円),走行距離(km),車歴,修復歴,保証,ハイブリッド,車検,都道府県
997,289.9,27000,4,0,1,1,1,宮崎県
998,132.1,59000,11,0,1,1,1,愛知県
999,319.9,10,1,0,1,1,1,広島県
1000,287.2,44000,3,0,1,1,1,香川県
1001,249.5,56000,3,0,1,1,1,岡山県
1002,185.2,54000,7,0,1,0,1,三重県
1003,339,6,1,0,1,1,1,愛知県
1004,276.7,27000,3,0,1,1,1,熊本県
1005,288.8,29000,4,0,1,1,1,埼玉県
1006,239.5,67000,4,0,1,1,1,長崎県
1007,132.8,48000,9,0,1,0,1,大阪府
1008,173.8,76000,6,0,1,0,1,沖縄県
1009,291.9,23000,3,0,1,1,1,山口県
1010,216.9,34000,7,0,1,1,1,山梨県
1011,230.3,37000,5,0,1,1,1,愛知県
1012,285.3,18000,3,0,1,1,1,大阪府
1013,166.3,50000,10,0,1,1,1,大阪府
1014,135.9,84000,10,0,1,1,1,三重県
1015,219.8,32000,5,0,1,0,1,長崎県
1016,304.9,21000,3,0,1,1,1,愛知県
1017,182.9,70000,7,0,1,1,1,岐阜県
1018,252,29000,2,0,1,0,1,茨城県
1019,203.7,21000,5,0,1,0,1,栃木県
1020,344,3,1,0,0,1,1,埼玉県
1021,169.9,60000,6,0,1,0,1,静岡県
1022,302.9,26000,3,0,1,1,1,大阪府
1023,209.8,36000,6,0,1,1,1,茨城県
1024,259.9,16000,4,0,1,0,1,千葉県
1025,277.8,53000,4,0,1,1,1,宮城県
1026,298.9,22000,2,0,1,1,1,東京都
1027,339,5,1,0,1,1,1,愛知県
1028,164.3,68000,7,0,1,0,1,愛知県
1029,126.9,109000,7,0,1,1,1,長崎県
1030,199.6,53000,8,0,1,1,1,大分県
1031,307.9,25000,3,0,1,1,1,埼玉県
1032,152.8,68000,10,0,1,1,1,埼玉県
1033,319.9,10,1,0,1,1,1,広島県
1034,319.9,10,1,0,1,1,1,広島県
1035,319.9,10,1,0,1,1,1,広島県
