index,車両本体価格(万円),走行距離(km),車歴,修復歴,保証,ハイブリッド,車検,都道府県
1426,312.7,22000,3,0,1,1,1,愛知県
1427,274.8,35000,4,0,1,0,1,愛知県
1428,243.9,50000,3,0,1,1,1,奈良県
1429,221.8,28000,6,0,1,1,1,福岡県
1430,285.9,10000,4,0,1,0,1,和歌山県
1431,319,10000,2,0,1,1,1,愛知県
1432,330.5,11000,1,0,1,1,1,埼玉県
1433,289.9,17000,3,0,1,0,1,兵庫県
1434,309.9,35000,3,0,1,1,1,福岡県
1435,184.9,76000,6,0,1,1,1,愛知県
1436,264.9,40000,3,0,1,0,1,新潟県
1437,173,57000,8,0,1,1,1,静岡県
1438,206.4,36000,5,0,1,0,1,埼玉県
1439,222.8,10000,6,0,1,0,1,埼玉県
1440,362.9,210,0,0,1,1,1,愛知県
1441,312.6,16000,2,0,1,1,1,京都府
1442,115.9,98000,11,0,1,1,1,愛知県
1443,213.8,24000,7,0,1,0,1,滋賀県
1444,242.9,31000,5,0,1,1,1,愛知県
1445,131.2,67000,9,0,1,0,1,埼玉県
1446,336,6,0,0,1,1,1,愛知県
1447,336,4,1,0,1,1,1,愛知県
1448,363.1,10,0,0,1,1,1,福岡県
1449,287.7,33000,4,0,1,1,1,兵庫県
1450,246.7,22000,5,0,1,1,1,鹿児島県
1451,334.9,5000,1,0,1,1,1,福岡県
1452,317,10000,2,0,1,1,1,埼玉県
1453,359.6,7,1,0,1,1,1,大阪府
1454,222.4,60000,6,0,1,1,0,茨城県
1455,329.8,10000,1,0,1,1,1,新潟県
1456,228.9,17000,7,0,1,1,0,福岡県
1457,349.8,5,1,0,1,1,1,熊本県
1458,307.9,17000,4,0,1,1,1,静岡県
1459,85.3,112000,10,0,1,0,1,愛知県
1460,274.2,34000,3,0,1,0,1,大阪府
1461,317.9,17000,3,0,1,1,1,大阪府
1462,264.7,37000,3,0,1,0,1,兵庫県
1463,322.9,28000,3,0,1,1,1,熊本県
1464,122.4,104000,6,0,1,1,1,神奈川県
1465,288.4,16000,3,0,1,0,1,熊本県
1466,145.3,44000,9,0,1,0,1,愛知県
1467,210.4,31000,6,0,1,0,1,愛知県
1468,184.8,14000,8,0,1,0,1,愛知県
1469,297.7,33000,4,0,1,1,1,新潟県
1470,229.9,8000,5,0,1,0,1,埼玉県
1471,274.2,37000,3,0,1,0,1,三重県
1472,284.3,14000,2,0,1,0,1,埼玉県
1473,309.1,25000,3,0,1,1,1,愛知県
1474,312,19000,4,0,1,1,1,長野県
1475,217.1,26000,7,0,1,1,1,愛知県
1476,309.8,10000,3,0,1,0,1,神奈川県
1477,133.8,12000,10,0,1,0,1,奈良県
1478,184.9,51000,7,0,1,0,1,愛知県
1479,157.9,71000,10,0,1,1,1,滋賀県
1480,310.5,37000,4,0,1,1,0,福井県
1481,322.9,20000,2,0,1,1,1,山口県
1482,167.9,68000,11,0,1,1,1,愛知県
1483,359.6,22,1,0,1,1,1,大阪府
1484,139.9,51000,9,0,1,0,1,大阪府
1485,244.9,32000,5,0,1,1,1,愛知県
1486,188.8,14000,7,0,1,0,1,愛知県
1487,172,39000,9,0,1,0,1,佐賀県
1488,299.9,6,1,0,1,0,1,大阪府
1489,173.8,44000,8,0,1,0,1,埼玉県
1490,359.9,30,1,0,1,1,1,大阪府
1491,177.1,33000,8,0,1,0,1,愛知県
1492,169.8,51000,9,0,1,0,1,北海道
1493,269.9,14000,4,0,1,1,1,埼玉県
1494,299.9,34,1,0,1,0,1,大阪府
1495,391.9,9,1,0,1,1,1,大阪府
1496,334.8,8000,1,0,1,1,1,新潟県
1497,216.3,46000,5,0,1,0,1,福岡県
1498,342.6,33000,3,0,1,1,1,山形県
1499,280.3,34000,4,0,1,0,1,千葉県
1500,294.9,12000,1,0,1,0,1,愛知県
1501,199.8,50000,8,0,1,0,1,青森県
1502,202.9,41000,8,0,1,0,1,静岡県
1503,172.9,75000,8,0,1,1,1,京都府
1504,339.8,16000,3,0,1,1,1,北海道
1505,224.8,24000,5,0,1,0,1,埼玉県
1506,177.9,76000,7,0,1,1,1,滋賀県
1507,285.7,51000,4,0,1,1,1,大阪府
1508,149.8,27000,10,0,1,0,1,広島県
1509,99.8,90000,9,0,1,0,1,埼玉県
1510,272.9,35000,4,0,1,0,1,岐阜県
1511,264.1,36000,4,0,1,1,1,埼玉県
1512,224,17000,5,0,1,0,1,愛知県
1513,314.9,560,1,0,1,0,1,愛知県
1514,187.2,42000,8,0,1,1,1,静岡県
1515,155.2,76000,9,0,1,1,1,栃木県
1516,359.9,43,1,0,1,1,1,大阪府
1517,168.3,37000,10,0,1,1,1,北海道
1518,182.4,66000,6,0,1,0,0,群馬県
1519,342.9,3000,1,0,1,1,1,愛知県
1520,396.9,15,1,0,1,1,1,千葉県
1521,347.4,5000,2,0,1,1,1,福井県
1522,233.8,51000,6,0,1,1,1,沖縄県
1523,162,28000,9,0,1,0,1,大阪府
1524,116.6,91000,9,0,1,0,1,香川県
1525,159.9,51000,10,0,1,0,1,大阪府
1526,211.8,59000,8,0,1,0,1,岩手県
1527,219.8,26000,6,0,1,0,1,長野県
1528,97.5,107000,10,0,1,0,1,栃木県
1529,319.9,11000,1,0,1,1,1,石川県
1530,295,30000,4,0,1,1,1,滋賀県
1531,142.9,106000,7,0,1,0,1,千葉県
1532,186.4,72000,7,0,1,1,1,茨城県
1533,208.8,51000,5,0,1,0,1,埼玉県
1534,183.8,20000,9,0,1,0,1,埼玉県
1535,165.8,58000,9,0,1,0,1,奈良県
1536,291.1,7000,3,0,1,0,1,埼玉県
1537,159.7,13000,10,0,1,0,1,愛知県
1538,249.9,24000,5,0,1,1,1,宮崎県
1539,159.9,30000,9,0,1,0,1,大阪府
1540,232.9,27000,5,0,1,0,1,滋賀県
1541,137.9,42000,10,0,1,0,1,兵庫県
1542,207.3,79000,5,0,1,1,1,茨城県
1543,302.9,23000,3,0,1,1,1,神奈川県
1544,342.8,6000,1,0,1,1,1,埼玉県
1545,169.9,57000,9,0,1,0,1,愛媛県
1546,175.9,60000,9,0,1,1,1,和歌山県
1547,179.4,45000,8,0,1,0,1,兵庫県
1548,209.8,53000,7,0,1,1,1,栃木県
1549,184.5,15000,8,0,0,0,1,千葉県
1550,264.7,35000,3,0,1,0,1,愛知県
1551,123,63000,11,0,1,0,1,大阪府
1552,162.7,26000,7,1,1,0,1,愛知県
1553,279.8,74000,4,0,1,1,1,鹿児島県
1554,213.9,43000,6,0,1,1,1,愛知県
1555,274.7,11000,3,0,1,0,1,京都府
1556,329.9,13000,3,0,1,1,1,長野県
1557,313.8,32000,3,0,1,1,1,茨城県
1558,289.3,14000,3,0,1,0,0,岡山県
1559,169.8,56000,9,0,1,1,1,茨城県
1560,234.9,31000,7,0,1,1,1,愛媛県
1561,188,40000,8,0,1,0,0,愛知県
1562,205.8,55000,7,0,1,1,1,埼玉県
1563,339.9,7,1,0,1,1,1,奈良県
1564,144.9,66000,11,0,1,0,1,長野県
1565,348.8,25000,3,0,1,1,1,青森県
1566,339.9,8,1,0,1,1,1,兵庫県
1567,129.9,70000,9,0,1,0,1,愛知県
1568,191.7,72000,7,0,1,1,1,石川県
1569,261.8,62000,3,0,1,1,1,埼玉県
1570,293.7,37000,3,0,1,1,1,埼玉県
1571,164.9,60000,10,0,1,1,1,大阪府
1572,222.9,25000,5,0,1,0,1,大阪府
1573,347.9,12000,3,0,1,1,1,鹿児島県
1574,344.9,22000,3,0,1,1,1,新潟県
1575,182.6,52000,8,0,1,0,1,京都府
1576,199.8,38000,8,0,1,1,1,千葉県
1577,339.9,6,1,0,1,1,1,奈良県
1578,339.9,6,1,0,1,1,1,奈良県
1579,237.9,27000,5,0,1,0,1,千葉県
1580,309.9,6,1,0,1,0,1,大阪府
1581,182.9,44000,8,0,1,0,1,大阪府
1582,211.4,50000,5,0,1,0,1,広島県
1583,309.8,32000,4,0,1,1,1,福岡県
1584,149.7,64000,10,0,1,1,1,愛知県
1585,372.6,810,1,0,1,1,1,滋賀県
1586,267.9,30000,4,0,1,0,1,群馬県
1587,245.3,27000,5,0,1,1,1,愛知県
1588,395.9,25,1,0,1,1,1,千葉県
1589,116.8,96000,9,0,1,0,1,福岡県
1590,262.5,11000,4,0,1,0,1,兵庫県
1591,212.9,23000,8,0,1,0,1,岐阜県
1592,149.9,59000,10,0,1,1,1,埼玉県
1593,326.9,19000,2,0,1,1,1,福岡県
1594,326.9,14000,1,0,1,1,1,福島県
1595,171.7,70000,9,0,1,0,1,宮城県
1596,212,31000,5,0,1,0,1,埼玉県
1597,326.2,25000,3,0,1,1,1,兵庫県
1598,207.6,73000,5,0,1,0,1,熊本県
1599,332.5,9000,3,0,1,1,1,埼玉県
1600,132.8,119000,7,0,1,0,0,愛知県
1601,79.9,87000,13,0,1,0,1,北海道
1602,207.9,13000,7,0,1,0,1,和歌山県
1603,255.9,19000,5,0,1,1,1,栃木県
1604,359,9,0,0,1,1,1,愛知県
1605,390.9,9,0,0,1,1,1,大阪府
1606,167.9,30000,10,0,1,0,1,愛知県
1607,187.9,28000,10,0,1,1,1,神奈川県
1608,225.8,34000,6,0,1,1,1,愛知県
1609,141.5,103000,7,0,1,0,1,佐賀県
1610,309.9,8,1,0,1,0,1,奈良県
1611,309.9,19,1,0,1,0,1,奈良県
1612,253.5,10000,6,0,1,1,1,埼玉県
1613,149.8,13000,10,0,1,0,1,大阪府
1614,223.7,70000,6,0,1,1,1,大分県
1615,317.7,21000,3,0,1,1,1,香川県
1616,135.4,56000,10,0,1,0,1,埼玉県
1617,395.9,10,1,0,1,1,1,千葉県
1618,169.8,34000,9,0,1,0,1,愛知県
1619,156.6,48000,9,0,1,0,1,愛知県
1620,218.1,52000,7,0,1,1,1,茨城県
1621,359.9,40,1,0,1,1,1,茨城県
1622,203.8,36000,7,0,1,0,1,三重県
1623,116.1,75000,10,0,1,0,1,愛知県
1624,331.7,6000,3,0,1,1,1,大阪府
1625,363.6,10,0,0,1,1,1,兵庫県
1626,225,24000,6,0,1,0,1,愛知県
1627,349.9,20000,2,0,1,1,1,埼玉県
1628,206.8,34000,6,0,1,0,1,愛知県
1629,189.6,44000,7,0,1,0,1,大阪府
1630,179.4,73000,5,0,1,0,1,愛知県
1631,149.9,54000,9,0,1,0,1,兵庫県
1632,169.8,12000,10,0,1,1,1,千葉県
1633,349.9,7000,1,0,1,1,1,静岡県
1634,169.9,26000,9,0,1,0,1,香川県
1635,332.5,9000,1,0,1,1,1,岡山県
1636,164.8,57000,11,0,1,1,1,大阪府
1637,202.9,47000,9,0,1,1,1,岐阜県
1638,185.4,80000,8,0,1,1,1,広島県
1639,197.8,39000,8,0,1,0,1,京都府
1640,326.9,5,1,0,1,1,1,大阪府
1641,242.9,45000,6,0,1,1,1,佐賀県
1642,204.9,28000,10,0,1,1,1,長崎県
1643,340.9,20,1,0,1,1,1,福岡県
1644,139.9,34000,9,1,1,0,1,大阪府
1645,148,77000,10,0,1,0,1,滋賀県
1646,313.9,6,0,0,1,1,1,熊本県
1647,323.7,12000,3,0,1,1,1,茨城県
1648,329.8,11000,3,0,1,1,1,兵庫県
1649,224.8,34000,7,0,1,1,1,宮城県
1650,202.8,7000,8,0,1,0,1,埼玉県
1651,230.8,24000,7,0,1,1,1,沖縄県
1652,197.8,24000,7,0,1,0,0,千葉県
1653,182.8,77000,8,0,1,1,1,和歌山県
1654,149.9,50000,10,0,1,0,1,兵庫県
1655,256.9,22000,6,0,1,0,1,北海道
1656,179.5,27000,11,0,1,1,1,神奈川県
1657,179.9,12000,9,0,1,0,1,千葉県
1658,159.9,86000,10,0,1,0,1,北海道
1659,287.5,9000,4,0,1,0,1,大阪府
1660,227.9,17000,7,0,1,0,1,茨城県
1661,234.9,7000,7,0,1,0,1,静岡県
1662,189.8,26000,9,0,1,0,1,島根県
1663,240.6,31000,6,0,1,0,1,北海道
1664,159.8,43000,9,0,1,0,1,千葉県
1665,213.8,40000,7,0,1,1,1,愛知県
1666,212.9,12000,8,0,1,0,1,山梨県
1667,189.9,47000,9,0,1,1,1,鳥取県
1668,198.9,38000,9,0,1,0,1,北海道
1669,244.9,40000,7,0,1,1,1,大阪府
1670,199.9,22000,11,0,1,1,1,栃木県
1671,219.8,66000,5,0,1,0,1,千葉県
1672,171.2,31000,10,0,1,0,1,岡山県
1673,132.7,89000,11,0,1,0,1,愛知県
1674,254.8,29000,5,0,1,1,1,埼玉県
1675,206.2,75000,5,0,1,0,1,広島県
1676,147.4,103000,9,0,1,1,1,宮崎県
1677,197.8,21000,10,0,1,1,1,神奈川県
1678,201.8,33000,9,0,1,1,1,埼玉県
1679,227,38000,8,0,1,1,1,兵庫県
1680,197.7,45000,9,0,1,1,1,埼玉県
1681,231.9,18000,7,0,1,1,1,茨城県
1682,232.7,46000,7,0,1,1,1,愛媛県
1683,165.7,99000,6,0,1,0,1,岐阜県
1684,157.6,20000,11,0,1,0,1,埼玉県
1685,156.9,33000,11,0,1,0,1,埼玉県
1686,103.4,105000,10,0,1,0,1,埼玉県
1687,148.2,45000,11,0,1,0,1,埼玉県
1688,182.8,53000,9,0,1,1,1,京都府
1689,198,78000,7,0,1,1,1,福岡県
1690,237.3,23000,6,0,1,0,1,高知県
1691,179.9,53000,10,0,1,1,1,兵庫県
1692,186.7,27000,10,0,1,0,1,和歌山県
1693,186.9,14000,9,0,1,0,1,千葉県
1694,179.6,17000,10,0,1,0,1,栃木県
1695,177.8,45000,9,0,1,0,1,兵庫県
1696,236.2,58000,7,0,1,0,1,岩手県
1697,242.8,25000,8,0,1,1,1,長崎県
1698,165,66000,11,0,1,1,1,愛知県
1699,440.1,8000,2,0,1,1,1,北海道
1700,175.6,19000,10,0,1,0,1,和歌山県
1701,189.5,54000,10,0,1,0,1,岩手県
1702,160.4,124000,8,0,1,0,1,栃木県
1703,185.9,97000,10,0,1,0,1,京都府
1704,187.1,99000,10,0,1,0,1,滋賀県
1705,153.9,33000,5,0,1,0,1,群馬県
1706,239.5,15000,2,0,1,1,1,神奈川県
1707,138.1,48000,7,0,1,0,1,愛知県
1708,148.6,52000,8,0,1,1,1,群馬県
1709,127.6,72000,5,0,1,0,1,鹿児島県
1710,269.5,18000,2,0,1,1,1,神奈川県
1711,147.9,47000,7,0,1,0,1,広島県
1712,96.9,78000,9,0,1,0,1,新潟県
1713,234.5,16000,3,0,1,0,1,神奈川県
1714,100.8,71000,9,0,1,0,1,埼玉県
1715,259.5,6000,2,0,1,1,1,神奈川県
1716,224.6,12000,3,0,1,0,1,神奈川県
1717,109.8,94000,7,0,1,0,1,岩手県
1718,130.1,77000,8,0,1,1,1,愛知県
1719,154.6,51000,6,0,1,0,1,鹿児島県
1720,76.4,140000,9,0,1,1,1,岐阜県
1721,195.6,32000,5,0,1,1,1,神奈川県
1722,128.8,23000,5,1,1,0,1,愛知県
1723,118.2,80000,9,0,1,1,1,愛知県
1724,74.1,144000,9,0,1,1,1,岐阜県
1725,265.7,38000,3,0,1,1,1,大阪府
1726,232.2,12000,3,0,1,0,1,茨城県
1727,97,34000,8,1,1,0,1,愛知県
1728,275,17000,2,0,1,1,1,神奈川県
1729,290.5,8000,2,0,1,1,1,福岡県
1730,230.4,29000,4,0,1,0,1,福岡県
1731,161.8,25000,6,0,1,0,1,奈良県
1732,253.2,40000,3,0,1,1,1,神奈川県
1733,274.9,5000,3,0,1,1,1,神奈川県
1734,263,25000,2,0,1,1,1,神奈川県
1735,243.5,4000,3,0,1,0,1,神奈川県
1736,189.5,21000,4,0,1,0,1,神奈川県
1737,109.2,49000,10,0,1,0,1,福岡県
1738,229.5,41000,3,0,1,1,1,神奈川県
1739,105,70000,11,0,1,1,1,愛知県
1740,168.6,46000,7,0,1,1,1,神奈川県
1741,199.3,46000,4,0,1,1,1,福岡県
1742,228.2,8000,3,0,1,0,1,神奈川県
1743,257.8,16000,2,0,1,1,1,神奈川県
1744,176.2,40000,5,0,1,0,1,埼玉県
1745,295.4,10000,2,0,1,1,1,神奈川県
1746,241.3,22000,4,0,1,0,1,福岡県
1747,264.5,9000,3,0,1,1,1,神奈川県
1748,92.1,58000,10,1,1,0,1,愛知県
1749,46.4,111000,14,0,1,0,1,愛知県
1750,248.5,24000,3,0,1,1,1,神奈川県
1751,234.5,49000,2,0,1,1,1,神奈川県
1752,244.5,24000,3,0,1,1,1,神奈川県
1753,243.5,14000,4,0,1,0,1,福岡県
1754,244,14000,4,0,1,0,1,福岡県
1755,105.8,72000,10,0,1,0,1,福岡県
1756,95.1,85000,9,0,1,0,1,福岡県
1757,129.9,42000,7,1,1,0,1,愛知県
1758,121,81000,8,0,1,0,1,愛知県
1759,126.9,36000,7,1,1,0,1,愛知県
1760,294.3,10000,2,0,1,1,1,神奈川県
1761,75.9,52000,11,1,1,0,1,栃木県
1762,236.5,15000,2,0,1,0,1,神奈川県
1763,242,39000,3,0,1,0,1,福岡県
1764,100.1,53000,11,0,1,0,1,愛知県
1765,188.8,36000,6,0,1,0,1,静岡県
1766,272.7,15000,3,0,1,1,1,神奈川県
1767,295,11000,2,0,1,1,1,神奈川県
1768,244.2,7000,2,0,1,0,1,神奈川県
1769,284.7,6000,3,0,1,1,1,神奈川県
1770,129.2,41000,9,1,1,1,1,北海道
1771,164.2,73000,6,0,1,1,1,神奈川県
1772,333.8,16000,3,0,1,1,1,兵庫県
1773,284.4,14000,3,0,1,1,1,神奈川県
1774,282.7,27000,3,0,1,1,1,栃木県
1775,164.8,20000,7,0,1,0,1,神奈川県
1776,244.5,33000,3,0,1,1,1,神奈川県
1777,279.5,4000,3,0,1,1,1,神奈川県
1778,264.6,55000,3,0,1,1,1,福岡県
1779,176.6,55000,7,0,1,1,1,群馬県
1780,111.6,70000,9,0,1,0,1,愛知県
1781,184.8,27000,5,0,1,0,0,神奈川県
1782,268.7,19000,3,0,1,1,1,神奈川県
1783,227.2,81000,4,0,1,1,1,福岡県
1784,269.4,8000,2,0,1,1,1,神奈川県
1785,209.9,9000,4,0,1,0,1,和歌山県
1786,141.1,55000,7,1,1,1,1,愛知県
1787,205,17000,4,0,1,0,1,神奈川県
1788,254.5,49000,3,0,1,1,1,神奈川県
1789,273.4,32000,4,0,1,1,1,神奈川県
1790,128.1,69000,9,0,1,0,1,福岡県
1791,174.1,40000,7,0,1,0,1,福岡県
1792,289.1,13000,3,0,1,1,1,福岡県
1793,273.7,25000,3,0,1,1,1,神奈川県
1794,158.1,38000,5,0,1,0,1,愛知県
1795,155.7,55000,8,0,1,1,1,福岡県
1796,243.3,17000,3,0,1,1,1,神奈川県
1797,120.1,55000,7,1,1,0,1,愛知県
1798,172.2,55000,5,0,1,0,1,愛知県
1799,254.5,23000,3,0,1,1,1,神奈川県
1800,98.4,92000,10,0,1,0,1,広島県
1801,176.7,52000,6,0,1,0,1,福岡県
1802,232.8,81000,3,0,1,1,1,福岡県
1803,174.8,43000,6,0,1,0,1,東京都
1804,254.2,23000,3,0,1,1,1,神奈川県
1805,242.4,43000,3,0,1,1,1,福岡県
1806,256.5,1000,3,0,1,0,1,神奈川県
1807,124.6,42000,9,0,1,0,1,神奈川県
1808,273.9,22000,3,0,1,1,1,神奈川県
1809,288.7,11000,3,0,1,1,1,神奈川県
1810,242.7,15000,4,0,1,0,1,福岡県
1811,173,65000,7,0,1,1,1,愛知県
1812,279.2,7000,3,0,1,1,1,神奈川県
1813,252.8,4000,3,0,1,0,1,神奈川県
1814,274.9,29000,3,0,1,1,1,神奈川県
1815,281.8,9000,3,0,1,1,1,神奈川県
1816,263.5,37000,4,0,1,1,1,神奈川県
1817,264.5,36000,4,0,1,1,1,神奈川県
1818,182.7,29000,5,1,1,1,1,福岡県
1819,198.7,14000,5,0,1,0,1,岐阜県
1820,278.7,21000,3,0,1,1,1,神奈川県
1821,274.5,21000,3,0,1,1,1,神奈川県
1822,134.6,16000,9,0,1,0,1,神奈川県
1823,234.5,42000,3,0,1,0,1,神奈川県
1824,175.1,33000,7,0,1,0,1,愛知県
1825,289.2,31000,3,0,1,1,1,神奈川県
1826,242.6,39000,3,0,1,0,1,埼玉県
1827,167.1,45000,5,1,1,1,1,神奈川県
1828,141.1,82000,7,0,1,1,1,福岡県
1829,109.6,54000,11,0,0,0,1,大阪府
1830,310.9,7000,2,0,1,1,1,兵庫県
1831,263.7,11000,3,0,1,1,1,神奈川県
1832,184.9,47000,6,0,1,1,1,石川県
1833,238.8,39000,3,0,1,0,1,神奈川県
1834,249.5,22000,3,0,1,0,1,神奈川県
1835,289.5,8000,2,0,1,1,1,神奈川県
1836,153,22000,5,1,1,0,1,兵庫県
1837,198.1,33000,5,0,1,0,1,神奈川県
1838,215.7,33000,5,0,1,1,1,福岡県
1839,284.4,17000,4,0,1,1,1,神奈川県
1840,57.2,105000,14,0,1,0,1,愛知県
1841,273.4,46000,4,0,1,1,1,福岡県
1842,274.2,12000,3,0,1,1,1,神奈川県
1843,97.2,76000,10,0,1,0,1,愛知県
1844,273.5,34000,4,0,1,1,1,神奈川県
1845,274.5,38000,3,0,1,1,1,神奈川県
1846,278.2,27000,3,0,1,1,1,神奈川県
1847,279.5,30000,3,0,1,1,1,神奈川県
1848,124.9,69000,10,0,1,1,1,静岡県
1849,216.8,24000,4,0,1,0,1,東京都
1850,283.2,10000,3,0,1,1,1,神奈川県
1851,259.5,18000,3,0,1,0,1,神奈川県
1852,262.9,25000,3,0,1,0,1,福岡県
1853,196.3,33000,5,0,1,0,1,岐阜県
1854,158.4,38000,8,0,1,0,1,愛知県
1855,208.6,40000,5,0,1,1,1,大阪府
1856,67.9,88000,13,0,1,0,1,栃木県
1857,291.5,28000,2,0,1,1,1,神奈川県
1858,178.1,14000,7,0,1,0,1,神奈川県
1859,149.3,64000,8,0,1,0,1,福岡県
1860,257.4,9000,3,0,1,0,1,福岡県
1861,284.6,15000,3,0,1,1,1,神奈川県
1862,284.8,36000,3,0,1,1,1,神奈川県
1863,171.4,37000,8,0,1,1,1,福岡県
1864,265.5,47000,4,0,1,1,1,岡山県
1865,120.1,54000,10,0,1,0,1,愛知県
1866,287.3,32000,3,0,1,1,1,大阪府
1867,138.5,64000,11,0,1,1,1,埼玉県
1868,69.9,58000,14,0,1,0,1,大阪府
1869,138.2,84000,7,0,1,0,1,愛知県
1870,163.6,43000,7,0,1,0,1,福岡県
1871,163.2,61000,7,1,1,1,1,福岡県
1872,288.5,23000,3,0,1,1,1,群馬県
1873,263.8,17000,2,0,1,0,1,神奈川県
1874,180.6,36000,7,0,1,0,1,福岡県
1875,176.9,36000,7,0,1,1,1,群馬県
1876,297.9,23000,2,0,1,1,1,福岡県
1877,295.3,18000,2,0,1,1,1,神奈川県
1878,240,38000,4,0,1,0,1,群馬県
1879,204.6,25000,5,0,1,0,1,神奈川県
1880,278,46000,3,0,1,1,1,福岡県
1881,247.6,35000,4,0,1,0,1,福岡県
1882,140.6,62000,10,0,1,1,1,福岡県
1883,276.5,43000,4,0,1,1,1,福岡県
1884,126.2,141000,7,0,1,0,1,岩手県
1885,208.1,25000,5,0,1,0,1,神奈川県
1886,168.8,82000,8,0,1,1,1,岩手県
1887,293,16000,3,0,1,1,1,福岡県
1888,72.9,55000,15,0,1,0,1,福岡県
1889,106.9,85000,10,0,1,0,1,愛知県
1890,288.2,13000,3,0,1,1,1,神奈川県
1891,244.5,19000,4,0,1,0,1,群馬県
1892,259.5,10000,3,0,1,0,1,神奈川県
1893,64.8,24000,15,0,1,0,1,千葉県
1894,284.5,16000,3,0,1,1,1,神奈川県
1895,82.1,80000,10,1,1,0,1,大阪府
1896,163.6,39000,9,0,1,1,1,大阪府
1897,144.9,45000,7,1,1,0,1,愛知県
1898,200.5,30000,4,1,1,1,1,福岡県
1899,274.3,39000,4,0,1,1,1,神奈川県
1900,282.8,49000,3,0,1,1,1,福岡県
1901,204.6,25000,5,0,1,1,1,神奈川県
1902,226.5,78000,4,0,1,1,1,神奈川県
1903,262.4,27000,3,0,1,0,1,福岡県
1904,187.1,25000,8,0,1,1,1,神奈川県
1905,282,36000,3,0,1,1,1,福岡県
1906,296.2,24000,3,0,1,1,1,福岡県
1907,294.5,16000,2,0,1,1,1,神奈川県
1908,265.8,25000,3,0,1,0,1,福岡県
1909,296.3,24000,3,0,1,1,1,埼玉県
1910,278.4,24000,4,0,1,1,1,神奈川県
1911,105.9,87000,10,0,1,0,1,福岡県
1912,263.9,42000,4,0,1,1,1,静岡県
1913,179.6,57000,6,0,1,0,1,神奈川県
1914,284.8,14000,3,0,1,1,1,神奈川県
1915,295.6,28000,2,0,1,1,1,群馬県
1916,258.4,37000,3,0,1,0,1,福岡県
1917,171.6,29000,6,1,1,0,1,大阪府
1918,175.9,52000,8,0,1,1,1,福岡県
1919,286.5,22000,4,0,1,1,1,埼玉県
1920,302.1,19000,4,0,1,1,1,茨城県
1921,264.5,53000,4,0,1,1,1,神奈川県
1922,214.5,35000,7,0,1,1,1,神奈川県
1923,159.5,46000,9,0,1,1,1,埼玉県
1924,186.1,33000,6,0,1,0,1,愛知県
1925,195.6,35000,5,0,1,0,1,広島県
1926,169.8,68000,6,0,1,0,1,埼玉県
1927,195.4,51000,4,0,1,0,1,愛知県
1928,150.9,85000,8,0,1,1,1,岡山県
1929,294.8,17000,4,0,1,1,1,静岡県
1930,289.5,15000,3,0,1,1,1,神奈川県
1931,130.1,76000,9,0,1,0,1,愛知県
1932,311.3,13000,3,0,1,1,1,福岡県
1933,121.7,54000,9,1,1,0,1,愛知県
1934,261.3,31000,3,0,1,0,1,神奈川県
1935,226.7,27000,4,0,1,0,1,埼玉県
1936,171.6,20000,5,1,1,0,1,愛知県
1937,309.6,32000,3,0,1,1,1,鹿児島県
1938,307.2,15000,3,0,1,1,1,茨城県
1939,265.6,27000,4,0,1,0,1,福岡県
1940,164.2,80000,5,0,1,0,1,福岡県
1941,278.8,30000,4,0,1,1,1,三重県
1942,184.8,37000,6,0,1,0,1,神奈川県
1943,221.2,50000,5,0,1,1,1,埼玉県
1944,62.9,99000,13,0,1,0,1,大阪府
1945,269.6,40000,3,0,1,0,1,神奈川県
1946,54.9,101000,17,0,1,0,1,広島県
1947,267.9,55000,4,0,1,1,1,埼玉県
1948,299,6000,1,0,1,0,1,茨城県
1949,188.8,48000,8,0,1,1,1,岩手県
1950,273.7,48000,4,0,1,1,1,神奈川県
1951,314.5,9000,2,0,1,1,1,福岡県
1952,151.1,33000,9,0,1,0,1,愛知県
1953,319.5,7000,3,0,1,1,1,福岡県
1954,111.7,37000,10,1,1,0,1,愛知県
1955,187.1,38000,5,1,1,1,1,愛知県
1956,85.2,122000,10,0,1,0,1,広島県
1957,288.8,40000,3,0,1,1,1,神奈川県
1958,285.7,39000,3,0,1,1,1,神奈川県
1959,185.7,77000,7,0,1,1,1,群馬県
1960,262.4,39000,3,0,1,0,1,福岡県
1961,145.3,75000,7,1,1,0,1,岡山県
1962,325.5,7000,2,0,1,1,1,福岡県
1963,140,38000,9,0,1,0,1,福岡県
1964,139.8,56000,9,0,1,0,1,神奈川県
1965,223.1,79000,4,0,1,0,1,愛知県
1966,125.7,76000,9,0,1,0,1,福岡県
1967,286,45000,4,0,1,1,1,福岡県
1968,266.8,13000,2,0,1,0,1,栃木県
1969,217.2,7000,7,0,1,1,1,茨城県
1970,308.2,19000,3,0,1,1,1,埼玉県
1971,175.2,79000,5,0,1,0,1,愛知県
1972,330.7,7000,1,0,1,1,1,福岡県
1973,260.7,35000,3,1,1,1,1,大阪府
1974,306,38000,3,0,1,1,1,埼玉県
1975,165.9,25000,9,0,1,0,1,兵庫県
1976,268.7,36000,4,0,1,0,1,神奈川県
1977,297.8,7000,4,0,1,1,1,三重県
1978,241.8,12000,3,1,1,0,1,愛知県
1979,59.2,112000,13,0,1,0,1,埼玉県
1980,209.8,19000,6,0,1,0,1,埼玉県
